media_id,title,genres,release_date,avg_rating,total_episodes,total_seasons,status,release_format,show_runner,media_type,create_time,update_time
9dc69f5e-cae5-4792-8550-ed1903fd2bc0,Need on necessary,['Adventure'],2013-08-22,4.4,35,10,Running,Binge,Douglas Mullins,Serie,2025-02-26,2025-02-26
8fb5d849-7234-472f-b946-45a7d5fbb14b,Give image concern,['Mystery'],1997-01-20,9.1,153,6,Running,Hybrid,Douglas Becker,Serie,2025-02-26,2025-02-26
85a5055e-0c88-4e42-9a01-e6015afc5c4d,Month,['Adventure'],2014-01-30,5.1,170,17,Ended,Hybrid,Justin Rojas,Serie,2025-02-26,2025-02-26
01161e9d-dc1a-4ce3-b80e-053470e39a9e,Himself employee,"['Animation', 'Sci-Fi']",2017-09-15,9.7,191,17,Running,Binge,Jonathan Rice,Serie,2025-02-26,2025-02-26
b1db60bb-e311-4b15-85ed-f2244156d4fc,Agreement close,"['Sci-Fi', 'Action']",1998-07-03,1.8,45,6,Ended,Binge,Anthony Williams,Serie,2025-02-26,2025-02-26
926762ad-1ae7-4241-ab48-ef79dc5e55ad,Artist mission against,['Drama'],2015-09-28,3.0,194,13,Running,Hybrid,Joseph Barrett,Serie,2025-02-26,2025-02-26
f2f57651-fa3d-4d42-a8a4-f5968e7e850a,Store mission perhaps hair,['Adventure'],2022-08-25,3.0,163,10,Ended,Hybrid,Lisa Thomas,Serie,2025-02-26,2025-02-26
97243ab1-cf21-4f5f-91c2-0d8ba59966ed,Plant movie,"['Action', 'Sci-Fi']",2001-06-25,6.2,188,11,Canceled,Weekly,Christy Williams,Serie,2025-02-26,2025-02-26
ecd14386-c817-4eb4-8418-de4a350e496f,Field road,['Mystery'],2006-08-23,7.5,30,15,Running,Binge,Erin Sloan,Serie,2025-02-26,2025-02-26
2ff7b516-c0cf-402c-88b7-a672a74f9a24,Attorney recent it,"['Mystery', 'Sci-Fi', 'Animation']",2021-08-09,2.9,173,7,Canceled,Hybrid,Angela Dominguez,Serie,2025-02-26,2025-02-26
